OwnSite,Product,Own Price,Competitor,CompetitorProduct,Competitor Price,Period,CompetitorDate
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-19
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-19
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-19
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-19
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-19
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-19
The site,Cred-R,2.299,The competitor1,1Regular,2.179,2021-01,2021-01-20
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-20
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-20
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-20
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-20
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-20
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-20
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-20
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-20
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-20
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-20
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-20
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-20
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-20
The site,Cred-R,2.299,The competitor1,1Regular,2.179,2021-01,2021-01-21
